name,party,constituency,agegroup,pb,date,venue,runs,created_at,updated_at
Dafydd Trystan Davies,Plaid Cymru,Caerdydd Ffynnon Taf,VM50-54,1279,2026-03-21,Grangemoor,428,2026-08-25 13:00:00,2026-08-25 13:00:00
Lara Bird,SNP,Arbroath and Broughty Ferry ,SW25-29,1280,2026-06-20,West Links,1,2026-08-25 13:00:00,2026-08-25 13:00:00
Dan Jarvis,Labour ,Barnsley North,VM50-54,1387,2026-02-28,Barnsley,11,2026-08-25 13:00:00,2026-08-25 13:00:00
Tom Gordon,Lib Dem,Harrogate and Knaresborough ,SM30-34,1392,2026-03-28,Fountains Abbey,50,2026-08-25 13:00:00,2026-08-25 13:00:00
Pat McFadden,Labour,Wolverhampton South East ,VM60-64,1463,2026-04-18,East Park,101,2026-08-25 13:00:00,2026-08-25 13:00:00
Nicholas Dakin,Labour ,Scunthorpe,VM70-74,1572,2026-05-09,Normanby Hall,265,2026-08-25 13:00:00,2026-08-25 13:00:00
Scott Arthur,Labour ,Edinburgh South West ,VM55-59,1606,2026-01-24,Oriam,437,2026-08-25 13:00:00,2026-08-25 13:00:00
Andy Burnham,Labour,Makerfield,VM55-59,1608,2026-07-04,Pennington Flash,1,2026-08-25 13:00:00,2026-08-25 13:00:00
Claire Hanna,SDLP,Belfast South and Mid Down ,VW45-49,1647,2026-03-07,Newry Greenway,179,2026-08-25 13:00:00,2026-08-25 13:00:00
Cat Smith,Labour,Lancaster and Wyre,VW40-44,1697,2026-07-25,Keswick,18,2026-08-25 13:00:00,2026-08-25 13:00:00
Richard Holden,Conservative,Basildon and Billericay ,VM40-44,1808,2026-02-07,Billericay,3,2026-08-25 13:00:00,2026-08-25 13:00:00
Nick Smith,Labour ,Blaenau Gwent and Rhymney ,VM65-69,1823,2026-04-18,Bryn Bach,268,2026-08-25 13:00:00,2026-08-25 13:00:00
Lisa Nandy,Labour,Wigan,VW45-49,1845,2026-07-04,Pennington Flash,1,2026-08-25 13:00:00,2026-08-25 13:00:00
Peter Swallow,Labour ,Bracknell,SM30-34,1874,2026-04-18,Bracknell,18,2026-08-25 13:00:00,2026-08-25 13:00:00
Gideon Amos,Lib Dem,Taunton and Wellington,VM60-64,1906,2026-03-07,Longrun Meadow,114,2026-08-25 13:00:00,2026-08-25 13:00:00
Kevin Bonavia,Labour ,Stevenage,VM45-49,1978,2026-05-30,Stevenage,37,2026-08-25 13:00:00,2026-08-25 13:00:00
Rachel Reeves,Labour ,Leeds West and Pudsey ,VW45-49,2062,2026-05-02,Bramley,31,2026-08-25 13:00:00,2026-08-25 13:00:00
Charlotte Nichols,Labour ,Warrington North ,SW30-34,2130,2026-03-21,Warrington,27,2026-08-25 13:00:00,2026-08-25 13:00:00
Stephanie Peacock,Labour ,Barnsley South ,VW35-39,2187,2026-04-04,Huddersfield,9,2026-08-25 13:00:00,2026-08-25 13:00:00
